volume_id,book_id,chapter_id,verse_id,volume_title,book_title,volume_long_title,book_long_title,volume_subtitle,book_subtitle,volume_short_title,book_short_title,volume_lds_url,book_lds_url,chapter_number,verse_number,scripture_text,verse_title,verse_short_title,saved
2,40,948,23788,New Testament,Matthew,The New Testament,The Gospel According to St Matthew,Of our Lord and Saviour Jesus Christ,,NT,Matt.,nt,matt,19,25,"When his disciples heard it, they were exceedingly amazed, saying, Who then can be saved?",Matthew 19:25,Matt. 19:25,1
2,40,956,24172,New Testament,Matthew,The New Testament,The Gospel According to St Matthew,Of our Lord and Saviour Jesus Christ,,NT,Matt.,nt,matt,27,42,"He saved others; himself he cannot save. If he be the King of Israel, let him now come down from the cross, and we will believe him.",Matthew 27:42,Matt. 27:42,1
2,40,953,23971,New Testament,Matthew,The New Testament,The Gospel According to St Matthew,Of our Lord and Saviour Jesus Christ,,NT,Matt.,nt,matt,24,13,"But he that shall endure unto the end, the same shall be saved.",Matthew 24:13,Matt. 24:13,1
2,40,953,23980,New Testament,Matthew,The New Testament,The Gospel According to St Matthew,Of our Lord and Saviour Jesus Christ,,NT,Matt.,nt,matt,24,22,"And except those days should be shortened, there should no flesh be saved: but for the elect's sake those days shall be shortened.",Matthew 24:22,Matt. 24:22,1
2,40,939,23440,New Testament,Matthew,The New Testament,The Gospel According to St Matthew,Of our Lord and Saviour Jesus Christ,,NT,Matt.,nt,matt,10,22,And ye shall be hated of all men for my name's sake: but he that endureth to the end shall be saved.,Matthew 10:22,Matt. 10:22,1
2,41,967,24615,New Testament,Mark,The New Testament,The Gospel According to St Mark,Of our Lord and Saviour Jesus Christ,,NT,Mark,nt,mark,10,26,"And they were astonished out of measure, saying among themselves, Who then can be saved?",Mark 10:26,Mark 10:26,1
2,41,973,24890,New Testament,Mark,The New Testament,The Gospel According to St Mark,Of our Lord and Saviour Jesus Christ,,NT,Mark,nt,mark,16,16,He that believeth and is baptized shall be saved; but he that believeth not shall be damned.,Mark 16:16,Mark 16:16,1
2,41,972,24858,New Testament,Mark,The New Testament,The Gospel According to St Mark,Of our Lord and Saviour Jesus Christ,,NT,Mark,nt,mark,15,31,"Likewise also the chief priests mocking said among themselves with the scribes, He saved others; himself he cannot save.",Mark 15:31,Mark 15:31,1
2,41,970,24731,New Testament,Mark,The New Testament,The Gospel According to St Mark,Of our Lord and Saviour Jesus Christ,,NT,Mark,nt,mark,13,13,"And ye shall be hated of all men for my name's sake: but he that shall endure unto the end, the same shall be saved.",Mark 13:13,Mark 13:13,1
2,41,970,24738,New Testament,Mark,The New Testament,The Gospel According to St Mark,Of our Lord and Saviour Jesus Christ,,NT,Mark,nt,mark,13,20,"And except that the Lord had shortened those days, no flesh should be saved: but for the elect's sake, whom he hath chosen, he hath shortened the days.",Mark 13:20,Mark 13:20,1
2,42,991,25731,New Testament,Luke,The New Testament,The Gospel According to St Luke,Of our Lord and Saviour Jesus Christ,,NT,Luke,nt,luke,18,42,"And Jesus said unto him, Receive thy sight: thy faith hath saved thee.",Luke 18:42,Luke 18:42,1
2,42,991,25715,New Testament,Luke,The New Testament,The Gospel According to St Luke,Of our Lord and Saviour Jesus Christ,,NT,Luke,nt,luke,18,26,"And they that heard it said, Who then can be saved?",Luke 18:26,Luke 18:26,1
2,42,986,25542,New Testament,Luke,The New Testament,The Gospel According to St Luke,Of our Lord and Saviour Jesus Christ,,NT,Luke,nt,luke,13,23,"Then said one unto him, Lord, are there few that be saved? And he said unto them,",Luke 13:23,Luke 13:23,1
2,42,996,25971,New Testament,Luke,The New Testament,The Gospel According to St Luke,Of our Lord and Saviour Jesus Christ,,NT,Luke,nt,luke,23,35,"And the people stood beholding. And the rulers also with them derided him, saying, He saved others; let him save himself, if he be Christ, the chosen of God.",Luke 23:35,Luke 23:35,1
2,42,974,24965,New Testament,Luke,The New Testament,The Gospel According to St Luke,Of our Lord and Saviour Jesus Christ,,NT,Luke,nt,luke,1,71,"That we should be saved from our enemies, and from the hand of all that hate us;",Luke 1:71,Luke 1:71,1
2,42,980,25246,New Testament,Luke,The New Testament,The Gospel According to St Luke,Of our Lord and Saviour Jesus Christ,,NT,Luke,nt,luke,7,50,"And he said to the woman, Thy faith hath saved thee; go in peace.",Luke 7:50,Luke 7:50,1
2,42,981,25258,New Testament,Luke,The New Testament,The Gospel According to St Luke,Of our Lord and Saviour Jesus Christ,,NT,Luke,nt,luke,8,12,"Those by the way side are they that hear; then cometh the devil, and taketh away the word out of their hearts, lest they should believe and be saved.",Luke 8:12,Luke 8:12,1
